diff		class name
2		com.gemstone.gemfire.cache.ExpirationAttributes
2		com.gemstone.org.jgroups.oswego.concurrent.ConcurrentReaderHashMap$KeySet
2		com.gemstone.org.jgroups.protocols.pbcast.Digest
2		com.gemstone.org.jgroups.protocols.pbcast.STABLE$StableHeader
2		com.gemstone.gemfire.internal.cache.tier.sockets.AcceptorImpl$1$1
2		com.gemstone.java.util.concurrent.SynchronousQueueNoSpin$TransferStack$SNode
2		com.gemstone.gemfire.internal.cache.BucketRegion$RawValue
2		[Ljava.lang.reflect.Method;
2		[Ljava.lang.reflect.Field;
1		java.io.ObjectStreamClass
1		java.lang.Long
1		java.io.ObjectStreamClass$WeakClassKey
1		java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
1		sun.reflect.DelegatingConstructorAccessorImpl
1		java.util.jar.Attributes
1		java.nio.HeapByteBuffer
1		java.io.ExpiringCache$Entry
1		java.util.Collections$UnmodifiableSet
1		java.util.concurrent.ThreadPoolExecutor
1		java.util.zip.Inflater
1		java.io.ObjectStreamClass$FieldReflectorKey
1		java.io.ObjectStreamClass$FieldReflector
1		[Ljava.lang.ThreadGroup;
1		java.util.concurrent.ConcurrentHashMap$Values
1		java.util.concurrent.ConcurrentHashMap$EntrySet
1		java.util.zip.ZStreamRef
1		com.gemstone.gemfire.internal.tcp.ConnectionTable$IdleConnTT
1		java.util.HashMap$Values
1		java.util.concurrent.SynchronousQueue
1		java.util.concurrent.SynchronousQueue$TransferStack
1		[Ljava.lang.reflect.Constructor;
1		java.util.jar.Manifest
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.PeriodicAck
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.ExecuteRegionFunction65
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.ExecuteRegionFunction66
1		sun.text.SupplementaryCharacterData
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.StopCQ
1		sun.reflect.GeneratedMethodAccessor38
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.CloseCQ
1		sun.nio.ch.SocketAdaptor$SocketInputStream
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.GetClientPRMetadataCommand66
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.RegisterInterestList
1		com.gemstone.gemfire.internal.cache.EventID$1
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.DestroyRegion
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.UpdateClientNotification
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.ClearRegion
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.GetPDXIdForType
1		[Lcom.gemstone.gemfire.internal.cache.PartitionedRegionDataStore$CreateBucketResult;
1		java.text.RuleBasedBreakIterator
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.ExecuteFunction
1		java.text.BreakIterator$BreakIteratorCache
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.GetPDXIdForEnum
1		com.gemstone.gemfire.distributed.internal.DistributionManager$6$1
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.Destroy65
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.KeySet
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.RemoveUserAuth
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.Size
1		sun.reflect.GeneratedConstructorAccessor7
1		sun.reflect.GeneratedConstructorAccessor6
1		sun.reflect.GeneratedConstructorAccessor5
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.MakePrimary
1		sun.reflect.UnsafeQualifiedStaticLongFieldAccessorImpl
1		com.gemstone.gemfire.internal.cache.tier.sockets.AcceptorImpl$5
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.CloseConnection
1		com.gemstone.gemfire.internal.cache.EntryExpiryTask
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.GetClientPartitionAttributesCommand66
1		com.gemstone.gemfire.internal.cache.EventID$ByteEventIDByteArrayFiller
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.AddPdxType
1		[Lcom.gemstone.gemfire.distributed.internal.locks.DistributedMemberLock$LockReentryPolicy;
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.CommitCommand
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.ExecuteCQ61
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.ExecuteRegionFunction
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.ContainsKey66
1		[Lcom.gemstone.gemfire.cache.MirrorType;
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.RollbackCommand
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.GetPDXTypeById
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.PutUserCredentials
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.Destroy
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.GetClientPartitionAttributesCommand
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.RegisterInstantiators
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.Put
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.MonitorCQ
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.RequestEventValue
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.ClientReady
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.RegisterInterest
1		sun.reflect.GeneratedSerializationConstructorAccessor7
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.PutAll
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.Ping
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.GetAllForRI
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.GetPDXEnumById
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.AddPdxEnum
1		com.gemstone.gemfire.internal.cache.EventID$IntegerEventIDByteArrayFiller
1		com.gemstone.gemfire.internal.cache.EventID$ThreadAndSequenceIDWrapper
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.ExecuteCQ
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.RegisterInterest61
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.GetFunctionAttribute
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.GetAll
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.ExecuteRegionFunctionSingleHop
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.Request
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.Query
1		com.gemstone.gemfire.internal.cache.EventID$LongEventIDByteArrayFiller
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.Invalidate
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.ProcessBatch
1		[Lcom.gemstone.gemfire.internal.cache.EventID$AbstractEventIDByteArrayFiller;
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.GetCQStats
1		com.gemstone.gemfire.internal.cache.ha.HARegionQueue$QueueRemovalThread
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.UnregisterInterest
1		sun.reflect.DelegatingMethodAccessorImpl
1		[Lcom.gemstone.gemfire.internal.cache.BucketRegion$SizeOp;
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.UnregisterInterestList
1		com.gemstone.gemfire.internal.cache.EventID$ShortEventIDByteArrayFiller
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.ContainsKey
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.TXFailoverCommand
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.ExecuteFunction66$1
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.GetClientPRMetadataCommand
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.CreateRegion
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.ExecuteFunction66
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.ExecuteFunction65
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.Put65
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.Put61
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.RegisterDataSerializers
1		sun.text.CompactByteArray
1		com.gemstone.gemfire.internal.cache.ha.HARegionQueueAttributes
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.Query651
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.GetAll651
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.RegisterInterestList66
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.RegisterInterestList61
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.TXSynchronizationCommand
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.Invalid
1		com.gemstone.gemfire.internal.cache.tier.sockets.command.GetEntryCommand
0		com.gemstone.gemfire.i18n.StringId
0		com.gemstone.gemfire.internal.cache.BucketAdvisor
0		com.gemstone.gemfire.internal.cache.ProxyBucketRegion
0		java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
0		com.gemstone.gemfire.cache.AttributesFactory$RegionAttributesImpl
0		java.lang.Byte
0		com.gemstone.gemfire.internal.cache.PartitionedRegion$BucketLock
0		java.util.concurrent.locks.ReentrantReadWriteLock
0		[Ljava.util.TimerTask;
0		java.util.Properties
0		[Lcom.gemstone.gemfire.distributed.internal.DistributionAdvisor$Profile;
0		com.gemstone.gemfire.distributed.internal.DistributionAdvisor$1
0		java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock
0		java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock
0		java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter
0		com.gemstone.gemfire.internal.concurrent.AtomicReference5
0		java.net.URL
0		java.math.BigInteger
0		java.text.DecimalFormat
0		com.gemstone.gemfire.internal.cache.DistributedRegion
0		sun.reflect.generics.tree.SimpleClassTypeSignature
0		java.util.GregorianCalendar
0		java.security.Provider$Service
0		sun.util.calendar.Gregorian$Date
0		com.gemstone.gemfire.internal.LocalStatisticsImpl
0		com.gemstone.gemfire.cache.Operation
0		java.security.Provider$ServiceKey
0		com.gemstone.org.jgroups.util.Queue
0		[Ljava.lang.Integer;
0		[Lcom.gemstone.gemfire.internal.DataSerializableFixedID;
0		[Ljava.lang.Byte;
0		[Ljava.lang.Long;
0		java.util.regex.Pattern$Curly
0		com.gemstone.gemfire.internal.ObjIdConcurrentMap$Segment
0		com.gemstone.gemfire.internal.cache.PartitionAttributesImpl
0		[Lsun.reflect.generics.tree.TypeArgument;
0		com.gemstone.gemfire.internal.cache.PartitionedRegion
0		java.util.regex.Pattern
0		java.security.AccessControlContext
0		java.text.DecimalFormatSymbols
0		java.net.Inet4Address
0		java.util.LinkedHashMap
0		java.util.TimerThread
0		com.gemstone.gemfire.internal.stats50.Atomic50StatisticsImpl
0		com.gemstone.org.jgroups.stack.IpAddress
0		com.gemstone.gemfire.internal.tcp.Connection
0		java.net.SocksSocketImpl
0		java.security.Provider$EngineDescription
0		java.text.SimpleDateFormat
0		sun.misc.URLClassPath$JarLoader
0		[Lcom.gemstone.gemfire.internal.cache.ProxyBucketRegion;
0		sun.util.calendar.ZoneInfo
0		sun.nio.cs.ext.JIS_X_0201$Encoder
0		java.util.regex.Pattern$CharPropertyNames$1
0		java.util.Locale
0		java.util.jar.JarFile$JarFileEntry
0		java.util.TreeMap
0		java.text.DigitList
0		sun.nio.cs.ext.MS932$Encoder
0		java.util.Collections$SynchronizedSet
0		com.gemstone.gemfire.distributed.internal.PooledExecutorWithDMStats
0		[Lcom.gemstone.gemfire.internal.ObjIdConcurrentMap$HashEntry;
0		sun.nio.cs.Surrogate$Parser
0		java.io.File
0		sun.nio.cs.StreamEncoder
0		[Ljava.security.ProtectionDomain;
0		com.gemstone.gemfire.distributed.internal.membership.InternalDistributedMember
0		java.util.Hashtable$KeySet
0		[D
0		java.util.LinkedList
0		java.util.jar.JarFile
0		com.gemstone.gemfire.internal.cache.tier.sockets.CacheServerStats
0		java.io.BufferedWriter
0		[Ljava.util.WeakHashMap$Entry;
0		java.util.regex.Pattern$GroupTail
0		java.security.Provider$UString
0		com.gemstone.gemfire.cache.RegionShortcut
0		java.util.Date
0		com.gemstone.gemfire.internal.cache.LocalRegion
0		sun.management.MemoryPoolImpl
0		java.util.Collections$SynchronizedMap
0		com.gemstone.org.jgroups.util.BoundedList
0		[Ljava.math.BigInteger;
0		java.lang.ref.ReferenceQueue
0		java.net.InterfaceAddress
0		java.util.concurrent.Semaphore$NonfairSync
0		com.gemstone.org.jgroups.protocols.UDP
0		java.util.concurrent.ConcurrentLinkedQueue$Node
0		java.text.DateFormat$Field
0		com.gemstone.gemfire.internal.cache.persistence.PersistenceAdvisorImpl
0		com.gemstone.gemfire.internal.cache.CacheDistributionAdvisor
0		sun.security.jca.ProviderConfig
0		com.gemstone.gemfire.distributed.internal.OverflowQueueWithDMStats
0		sun.management.MemoryPoolImpl$CollectionSensor
0		sun.management.MemoryPoolImpl$PoolSensor
0		java.util.concurrent.LinkedBlockingQueue
0		com.gemstone.gemfire.distributed.internal.RuntimeDistributionConfigImpl
0		java.net.NetworkInterface
0		java.util.regex.Pattern$Single
0		com.gemstone.gemfire.distributed.internal.DistributionConfigImpl
0		java.util.regex.Pattern$GroupHead
0		java.util.regex.Pattern$CharPropertyNames$4
0		com.gemstone.gemfire.internal.cache.GemFireCacheImpl
0		com.gemstone.gemfire.distributed.internal.DistributionManager
0		sun.nio.ch.SocketAdaptor
0		com.gemstone.gemfire.distributed.internal.SerialQueuedExecutorWithDMStats
0		java.io.PrintWriter
0		com.gemstone.org.jgroups.protocols.pbcast.GMS
0		java.io.OutputStreamWriter
0		java.util.WeakHashMap
0		[Lcom.gemstone.gemfire.cache.Operation;
0		java.util.LinkedHashSet
0		com.gemstone.gemfire.internal.cache.partitioned.RegionAdvisor
0		java.util.logging.Level
0		java.util.regex.Pattern$Ctype
0		com.gemstone.org.jgroups.protocols.pbcast.NAKACK
0		java.util.regex.Pattern$Dot
0		com.vmware.licensecheck.LicenseAttributes
0		com.gemstone.gemfire.distributed.internal.membership.jgroup.JGroupMembershipManager
0		sun.net.www.protocol.jar.URLJarFile
0		com.gemstone.gemfire.internal.licensing.LogWriterAdapter$AdapterLogger
0		sun.misc.MetaIndex
0		com.gemstone.gemfire.internal.cache.tier.Version
0		java.math.RoundingMode
0		com.gemstone.org.jgroups.protocols.FD_SOCK
0		java.text.NumberFormat$Field
0		com.gemstone.org.jgroups.protocols.UNICAST
0		[Ljava.lang.Boolean;
0		sun.reflect.generics.tree.ClassTypeSignature
0		java.util.regex.Pattern$Start
0		sun.nio.ch.ServerSocketChannelImpl
0		com.gemstone.org.jgroups.protocols.FC
0		[Ljava.text.DateFormat$Field;
0		java.util.regex.Pattern$Branch
0		[Ljava.util.regex.Pattern$Node;
0		java.util.Timer
0		sun.util.LocaleServiceProviderPool
0		com.gemstone.org.jgroups.util.Promise
0		[Lcom.gemstone.gemfire.internal.ObjIdConcurrentMap$Segment;
0		com.gemstone.gemfire.distributed.internal.locks.DLockGrantor$DLockGrantorThread
0		com.gemstone.gemfire.distributed.internal.PooledExecutorWithDMStats$2
0		java.lang.ClassLoader$NativeLibrary
0		java.util.Formatter$Flags
0		com.gemstone.gemfire.internal.LocalLogWriter
0		com.gemstone.org.jgroups.protocols.pbcast.STABLE
0		java.util.concurrent.ConcurrentLinkedQueue
0		com.gemstone.gemfire.distributed.internal.InternalDistributedSystem
0		[Ljava.net.InterfaceAddress;
0		com.gemstone.org.jgroups.protocols.DirAck
0		com.gemstone.gemfire.cache.client.ClientRegionShortcut
0		com.gemstone.gemfire.internal.cache.PartitionRegionConfig
0		com.gemstone.org.jgroups.JChannel
0		com.gemstone.org.jgroups.stack.NakReceiverWindow
0		java.lang.RuntimePermission
0		com.gemstone.org.jgroups.protocols.FD
0		com.gemstone.org.jgroups.protocols.FRAG2
0		com.gemstone.gemfire.cache.server.internal.LoadMonitor$PollingThread
0		com.gemstone.gemfire.internal.cache.tier.sockets.AcceptorImpl
0		java.io.PrintStream
0		java.security.CodeSource
0		java.io.FilePermission
0		com.gemstone.gemfire.internal.concurrent.RWL5$InnerLock5
0		java.util.concurrent.atomic.AtomicLong
0		java.util.Collections$UnmodifiableRandomAccessList
0		java.security.ProtectionDomain
0		java.util.regex.Pattern$CharPropertyNames$3
0		com.gemstone.org.jgroups.stack.Retransmitter
0		java.net.PlainDatagramSocketImpl
0		com.gemstone.gemfire.internal.cache.PartitionedRegionDataStore
0		java.lang.ref.ReferenceQueue$Lock
0		java.util.regex.Pattern$6
0		com.gemstone.java.util.concurrent.SynchronousQueueNoSpin
0		com.gemstone.org.jgroups.protocols.FD_SOCK$ClientConnectionHandler
0		com.gemstone.gemfire.internal.util.concurrent.CopyOnWriteHashMap
0		com.gemstone.org.jgroups.protocols.TCPGOSSIP
0		java.lang.OutOfMemoryError
0		java.security.Permissions
0		com.gemstone.gemfire.internal.cache.tier.sockets.ClientHealthMonitor$ClientHealthMonitorThread
0		com.gemstone.org.jgroups.protocols.VIEW_SYNC
0		com.gemstone.gemfire.cache.DataPolicy
0		sun.nio.ch.SocketOptsImpl$IP$TCP
0		java.io.ExpiringCache$1
0		java.lang.ref.Reference$ReferenceHandler
0		com.gemstone.gemfire.internal.sequencelog.SequenceLoggerImpl$ConsumerThread
0		[Ljava.net.NetworkInterface;
0		com.gemstone.gemfire.internal.concurrent.Semaphore5
0		java.lang.ref.Finalizer$FinalizerThread
0		java.util.TaskQueue
0		com.gemstone.gemfire.distributed.internal.membership.jgroup.JGroupMember
0		java.util.regex.Pattern$BranchConn
0		java.util.Timer$1
0		sun.security.provider.SHA
0		sun.nio.ch.OptionAdaptor
0		[Lcom.gemstone.gemfire.cache.RegionShortcut;
0		com.gemstone.org.jgroups.stack.ProtocolStack
0		com.gemstone.gemfire.internal.cache.BridgeServerAdvisor
0		com.gemstone.gemfire.internal.cache.control.InternalResourceManager
0		java.util.Stack
0		java.lang.ThreadGroup
0		com.gemstone.gemfire.internal.cache.BridgeServerImpl
0		com.gemstone.gemfire.internal.SystemTimer
0		java.util.Random
0		com.gemstone.gemfire.cache.EvictionAlgorithm
0		com.gemstone.gemfire.internal.licensing.ComponentType
0		com.gemstone.gemfire.internal.cache.control.InternalResourceManager$Thresholds
0		java.util.regex.Pattern$CharPropertyNames$2
0		java.util.concurrent.atomic.AtomicReference
0		java.util.Collections$UnmodifiableMap
0		[Lcom.gemstone.gemfire.cache.CacheListener;
0		com.gemstone.gemfire.internal.cache.FilterProfile
0		com.gemstone.org.jgroups.oswego.concurrent.WriterPreferenceReadWriteLock
0		com.gemstone.org.jgroups.util.TimeScheduler$IntTask
0		com.gemstone.gemfire.distributed.internal.locks.DLockService
0		com.gemstone.gemfire.distributed.internal.locks.DLockGrantor
0		com.gemstone.org.jgroups.protocols.VERIFY_SUSPECT
0		sun.reflect.generics.repository.ClassRepository
0		com.gemstone.gemfire.internal.cache.control.MemoryEventImpl
0		java.io.FileOutputStream
0		com.gemstone.gemfire.internal.util.concurrent.CopyOnWriteWeakHashMap
0		sun.misc.URLClassPath
0		com.gemstone.gemfire.internal.cache.tier.sockets.CacheClientNotifier
0		[Lcom.gemstone.gemfire.internal.cache.tier.Version;
0		sun.security.provider.Sun
0		com.gemstone.gemfire.internal.tcp.TCPConduit
0		sun.security.jca.ProviderList$1
0		com.gemstone.gemfire.internal.JavaStatSampler
0		java.util.Hashtable$EntrySet
0		com.gemstone.java.util.concurrent.SynchronousQueueNoSpin$TransferStack
0		com.gemstone.gemfire.internal.util.concurrent.ReentrantSemaphore
0		java.util.concurrent.ConcurrentHashMap$KeySet
0		com.gemstone.gemfire.internal.tcp.Buffers$BBSoftReference
0		com.gemstone.gemfire.internal.cache.PRHARedundancyProvider
0		com.gemstone.gemfire.internal.cache.DiskWriteAttributesImpl
0		java.net.SocketInputStream
0		java.util.IdentityHashMap
0		[Ljava.lang.reflect.Type;
0		sun.nio.ch.SocketChannelImpl$1
0		java.util.concurrent.ScheduledThreadPoolExecutor
0		com.gemstone.gemfire.internal.cache.TXManagerImpl
0		com.gemstone.gemfire.internal.ManagerLogWriter
0		java.util.Arrays$ArrayList
0		com.gemstone.gemfire.distributed.internal.membership.MemberAttributes
0		java.util.WeakHashMap$Entry
0		java.net.Socket
0		java.security.BasicPermissionCollection
0		sun.misc.Launcher$AppClassLoader
0		com.gemstone.org.jgroups.util.List$Element
0		sun.reflect.generics.tree.ClassSignature
0		java.util.regex.Pattern$2
0		[[Ljava.lang.String;
0		sun.misc.Launcher$ExtClassLoader
0		com.gemstone.gemfire.internal.cache.CacheDistributionAdvisor$CacheProfile
0		com.gemstone.org.jgroups.protocols.AUTH
0		com.gemstone.gemfire.internal.cache.control.ResourceAdvisor
0		java.io.FilePermissionCollection
0		[Lcom.gemstone.gemfire.internal.sequencelog.GraphType;
0		java.util.regex.Pattern$BitClass
0		sun.nio.ch.ServerSocketAdaptor
0		java.net.DatagramSocket
0		com.gemstone.gemfire.internal.util.concurrent.StoppableReentrantReadWriteLock
0		com.gemstone.gemfire.internal.cache.persistence.PersistenceAdvisorImpl$ProfileChangeListener
0		com.gemstone.gemfire.internal.sequencelog.GraphType
0		com.gemstone.gemfire.distributed.internal.ThrottlingMemLinkedQueueWithDMStats
0		java.io.InvalidClassException
0		com.gemstone.gemfire.internal.cache.FilterProfile$IDMap
0		java.io.ExpiringCache
0		com.gemstone.gemfire.internal.cache.InMemoryPersistentMemberView
0		com.gemstone.gemfire.pdx.internal.PeerTypeRegistration
0		com.gemstone.gemfire.distributed.internal.locks.GrantorInfo
